cntry,age,ageg10,ageg05,religion,religion03,religion06,pvLIT,pvNUM,pvPSL,wageh
ISR,28,25-34,25-29,Jewish,Jewish,Jewish_Haredim,298.9409,327.5382,301.7592,-1
ISR,23,16-24,20-24,Jewish,Jewish,Jewish,211.2775,166.9364,187.8009,23.12
ISR,48,45-54,45-49,Jewish,Jewish,Jewish_Haredim,242.7405,257.4633,,27.91
ISR,35,35-44,35-39,Jewish,Jewish,Jewish_Haredim,182.451,183.1344,,50
ISR,32,25-34,30-34,Jewish,Jewish,Jewish,248.0213,236.7311,271.647,33.72
ISR,42,35-44,40-44,Jewish,Jewish,Jewish_Haredim,309.4709,326.042,264.4754,-1
ISR,28,25-34,25-29,Jewish,Jewish,Jewish_Haredim,214.2348,241.7514,243.0469,-1
ISR,44,35-44,40-44,Jewish,Jewish,Jewish_Haredim,265.3229,268.3463,,-1
ISR,34,25-34,30-34,Jewish,Jewish,Jewish_Haredim,188.2106,175.7246,184.4541,37.16
ISR,22,16-24,20-24,Jewish,Jewish,Jewish_Haredim,263.9193,274.9106,257.0341,-1
ISR,24,16-24,20-24,Jewish,Jewish,Jewish_Haredim,195.3252,210.0168,217.1703,18.5
ISR,23,16-24,20-24,Jewish,Jewish,Jewish_Haredim,223.7161,206.8924,220.5183,25.5
ISR,28,25-34,25-29,Jewish,Jewish,Jewish_Haredim,259.7747,274.5077,270.6716,35.03
ISR,16,16-24,16-19,Jewish,Jewish,Jewish_Haredim,274.221,275.2633,271.5236,-1
ISR,41,35-44,40-44,Jewish,Jewish,Jewish_Haredim,293.0321,318.6694,301.1626,-1
ISR,22,16-24,20-24,Jewish,Jewish,Jewish_Haredim,246.9634,244.1353,250.7045,-1
ISR,31,25-34,30-34,Jewish,Jewish,Jewish_Haredim,266.8752,254.2097,228.9937,-1
ISR,29,25-34,25-29,Jewish,Jewish,Jewish_Haredim,284.4211,292.7487,288.0596,-1
ISR,18,16-24,16-19,Jewish,Jewish,Jewish_Haredim,287.426,311.0298,313.1792,-1
ISR,20,16-24,20-24,Jewish,Jewish,Jewish_Haredim,277.6812,206.2956,,-1
ISR,26,25-34,25-29,Jewish,Jewish,Jewish,237.5627,237.716,243.3301,-1
ISR,30,25-34,30-34,Jewish,Jewish,Jewish_Haredim,244.4272,227.9068,,-1
ISR,52,45-54,50-54,Jewish,Jewish,Jewish_Haredim,224.1359,197.9363,225.2409,-1
ISR,25,25-34,25-29,Jewish,Jewish,Jewish_Haredim,252.4115,255.7863,286.7549,-1
ISR,29,25-34,25-29,Jewish,Jewish,Jewish_Haredim,309.9728,316.9572,301.2512,55
ISR,16,16-24,16-19,Jewish,Jewish,Jewish_Haredim,297.0887,281.0591,276.1902,-1
ISR,64,55-65,60-65,Jewish,Jewish,Jewish_Haredim,195.2323,211.6477,211.7721,69.36
ISR,52,45-54,50-54,Jewish,Jewish,Jewish_Haredim,276.439,291.2734,294.0245,30.83
ISR,44,35-44,40-44,Jewish,Jewish,Jewish_Haredim,283.7676,276.2109,238.1365,46.24
ISR,31,25-34,30-34,Jewish,Jewish,Jewish_Haredim,352.607,348.8963,333.7686,-1
ISR,21,16-24,20-24,Jewish,Jewish,Jewish_Haredim,249.7733,252.9103,251.8542,-1
ISR,32,25-34,30-34,Jewish,Jewish,Jewish_Haredim,290.6274,324.0152,317.1457,-1
ISR,64,55-65,60-65,Jewish,Jewish,Jewish_Haredim,184.9917,160.5636,,-1
ISR,25,25-34,25-29,Jewish,Jewish,Jewish,301.5748,337.7634,319.0311,-1
ISR,28,25-34,25-29,Jewish,Jewish,Jewish_Haredim,320.7412,340.0329,300.6908,-1
ISR,26,25-34,25-29,Jewish,Jewish,Jewish_Haredim,296.2018,299.6402,255.9806,26.01
ISR,25,25-34,25-29,Jewish,Jewish,Jewish_Haredim,243.9984,239.057,263.9485,46.24
ISR,61,55-65,60-65,Jewish,Jewish,Jewish_Haredim,247.0673,245.6029,,-1
ISR,22,16-24,20-24,Jewish,Jewish,Jewish_Haredim,253.9331,247.6422,259.8246,-1
ISR,46,45-54,45-49,Jewish,Jewish,Jewish_Haredim,243.5287,243.6388,272.2774,32.37
ISR,16,16-24,16-19,Jewish,Jewish,Jewish_Haredim,290.6868,287.277,255.4572,-1
ISR,26,25-34,25-29,Jewish,Jewish,Jewish,247.6948,246.764,288.878,64.74
ISR,28,25-34,25-29,Jewish,Jewish,Jewish,297.1607,285.0533,325.1557,35
ISR,32,25-34,30-34,Jewish,Jewish,Jewish,374.6707,345.579,397.5074,-1
ISR,42,35-44,40-44,Jewish,Jewish,Jewish,142.7116,142.9305,,86.71
ISR,25,25-34,25-29,Jewish,Jewish,Jewish,303.7094,309.1798,290.9583,40
ISR,47,45-54,45-49,Jewish,Jewish,Jewish,328.2891,370.3538,335.0953,38.54
ISR,26,25-34,25-29,Jewish,Jewish,Jewish,284.5114,300.5992,,-1
ISR,29,25-34,25-29,Jewish,Jewish,Jewish,257.3357,274.5981,332.2311,61.66
ISR,31,25-34,30-34,Jewish,Jewish,Jewish,288.4021,260.5013,276.7971,60
ISR,63,55-65,60-65,Jewish,Jewish,Jewish,272.1692,309.4234,235.6661,43.02
ISR,43,35-44,40-44,Jewish,Jewish,Jewish,317.2492,327.9958,319.5575,-1
ISR,32,25-34,30-34,Jewish,Jewish,Jewish,309.1688,351.4718,332.9545,63.58
ISR,26,25-34,25-29,Jewish,Jewish,Jewish_Haredim,319.0959,346.2006,330.6635,-1
ISR,37,35-44,35-39,Jewish,Jewish,Jewish_Haredim,296.33,273.4608,240.4286,92.31
ISR,20,16-24,20-24,Jewish,Jewish,Jewish_Haredim,289.1045,299.5997,280.7435,28
ISR,20,16-24,20-24,Jewish,Jewish,Jewish,297.8492,310.5938,314.3648,30
ISR,41,35-44,40-44,Jewish,Jewish,Jewish_Haredim,273.8905,261.8868,,-1
ISR,33,25-34,30-34,Jewish,Jewish,Jewish,275.5344,309.2802,262.2972,37.64
ISR,61,55-65,60-65,Jewish,Jewish,Jewish_Haredim,329.0376,293.0361,,66.06
ISR,44,35-44,40-44,Jewish,Jewish,Jewish,259.2836,251.9977,293.518,28
ISR,36,35-44,35-39,Jewish,Jewish,Jewish_Haredim,202.4889,198.0305,,-1
ISR,55,55-65,55-59,Jewish,Jewish,Jewish_Haredim,262.4368,253.0076,,-1
ISR,39,35-44,35-39,Jewish,Jewish,Jewish_Haredim,204.6405,256.178,227.6102,23
ISR,57,55-65,55-59,Jewish,Jewish,Jewish_Haredim,288.8112,307.0769,,-1
ISR,29,25-34,25-29,Jewish,Jewish,Jewish_Haredim,230.9023,224.8735,247.2811,46.24
ISR,54,45-54,50-54,Jewish,Jewish,Jewish_Haredim,229.169,254.8236,185.3347,79.27
ISR,16,16-24,16-19,Jewish,Jewish,Jewish_Haredim,316.2847,325.189,334.0696,-1
ISR,36,35-44,35-39,Jewish,Jewish,Jewish,288.1221,305.8803,235.3594,-1
ISR,28,25-34,25-29,Jewish,Jewish,Jewish_Haredim,277.2076,304.4563,292.9099,-1
ISR,35,35-44,35-39,Jewish,Jewish,Jewish_Haredim,263.711,279.7947,275.0669,-1
ISR,34,25-34,30-34,Jewish,Jewish,Jewish_Haredim,311.8232,290.5627,,-1
ISR,52,45-54,50-54,Jewish,Jewish,Jewish,316.5252,310.9307,316.0377,109.89
ISR,33,25-34,30-34,Jewish,Jewish,Jewish_Haredim,316.4843,309.2845,353.2414,50.45
ISR,38,35-44,35-39,Jewish,Jewish,Jewish_Haredim,346.0208,405.1481,293.0109,57
ISR,26,25-34,25-29,Jewish,Jewish,Jewish,315.7234,319.7678,294.7345,36.9
ISR,39,35-44,35-39,Jewish,Jewish,Jewish_Haredim,278.432,330.3607,301.0239,-1
ISR,17,16-24,16-19,Jewish,Jewish,Jewish_Haredim,232.916,221.4882,264.0632,30
ISR,59,55-65,55-59,Jewish,Jewish,Jewish,240.7877,275.1981,250.8491,-1
ISR,65,55-65,60-65,Jewish,Jewish,Jewish,219.7586,221.0628,,69.36
ISR,53,45-54,50-54,Jewish,Jewish,Jewish_Haredim,207.3029,303.9699,261.9583,-1
ISR,17,16-24,16-19,Jewish,Jewish,Jewish,325.0771,327.2834,375.7975,-1
ISR,37,35-44,35-39,Jewish,Jewish,Jewish,293.6845,298.9612,325.7492,55.49
ISR,61,55-65,60-65,Jewish,Jewish,Jewish,286.7155,339.9828,325.0099,-1
ISR,44,35-44,40-44,Jewish,Jewish,Jewish_Haredim,248.0863,295.6469,282.0039,-1
ISR,21,16-24,20-24,Jewish,Jewish,Jewish_Haredim,285.5514,276.754,271.2789,-1
ISR,17,16-24,16-19,Jewish,Jewish,Jewish_Haredim,230.2421,219.2459,222.7582,30
ISR,31,25-34,30-34,Jewish,Jewish,Jewish_Haredim,303.4645,323.4333,327.8587,-1
ISR,34,25-34,30-34,Jewish,Jewish,Jewish_Haredim,243.2104,238.1117,278.9447,92.49
ISR,18,16-24,16-19,Jewish,Jewish,Jewish_Haredim,280.3644,278.032,340.9148,-1
ISR,18,16-24,16-19,Jewish,Jewish,Jewish_Haredim,269.0906,272.8717,279.5828,12
ISR,17,16-24,16-19,Jewish,Jewish,Jewish_Haredim,238.9865,265.538,271.5563,25
ISR,23,16-24,20-24,Jewish,Jewish,Jewish_Haredim,243.5538,229.5229,281.6503,33.03
ISR,57,55-65,55-59,Jewish,Jewish,Jewish_Haredim,325.7703,308.8429,,73.99
ISR,63,55-65,60-65,Jewish,Jewish,Jewish,245.6018,279.9295,248.8353,51.58
ISR,19,16-24,16-19,Jewish,Jewish,Jewish,324.2928,349.6937,303.0524,-1
ISR,46,45-54,45-49,Jewish,Jewish,Jewish_Haredim,236.1626,231.6805,226.1263,-1
ISR,27,25-34,25-29,Jewish,Jewish,Jewish_Haredim,294.7797,282.315,291.8818,38.54
ISR,21,16-24,20-24,Jewish,Jewish,Jewish_Haredim,219.2232,201.8154,,-1
ISR,33,25-34,30-34,Jewish,Jewish,Jewish_Haredim,295.4111,309.946,300.1982,-1
ISR,20,16-24,20-24,Jewish,Jewish,Jewish_Haredim,238.2484,260.1877,,22.09
ISR,27,25-34,25-29,Jewish,Jewish,Jewish,301.4854,335.4211,301.3317,45
ISR,18,16-24,16-19,Jewish,Jewish,Jewish_Haredim,287.7377,305.1498,332.8007,-1
ISR,62,55-65,60-65,Jewish,Jewish,Jewish_Haredim,234.8608,242.8875,241.7315,-1
ISR,46,45-54,45-49,Jewish,Jewish,Jewish_Haredim,347.5322,306.7568,,-1
ISR,23,16-24,20-24,Jewish,Jewish,Jewish_Haredim,356.4437,360.4893,332.0052,92.49
ISR,58,55-65,55-59,Jewish,Jewish,Jewish_Haredim,329.9372,329.376,316.0427,110.79
ISR,47,45-54,45-49,Jewish,Jewish,Jewish_Haredim,277.5759,270.8567,,-1
ISR,63,55-65,60-65,Jewish,Jewish,Jewish_Haredim,259.2047,285.7918,263.6345,-1
ISR,17,16-24,16-19,Jewish,Jewish,Jewish_Haredim,302.245,287.931,,-1
ISR,37,35-44,35-39,Jewish,Jewish,Jewish_Haredim,225.6125,222.1422,213.5986,23.12
ISR,29,25-34,25-29,Jewish,Jewish,Jewish_Haredim,195.6676,195.7109,229.8123,38
ISR,16,16-24,16-19,Jewish,Jewish,Jewish,201.8499,224.0335,239.0163,37.5
ISR,23,16-24,20-24,Jewish,Jewish,Jewish,285.2493,242.7309,317.8861,24
ISR,64,55-65,60-65,Jewish,Jewish,Jewish,272.4399,267.2926,281.9948,-1
ISR,38,35-44,35-39,Jewish,Jewish,Jewish,191.5339,172.9829,184.9796,-1
ISR,31,25-34,30-34,Jewish,Jewish,Jewish_Haredim,268.032,280.8337,220.756,27.23
ISR,30,25-34,30-34,Jewish,Jewish,Jewish,309.5433,287.5493,,26.42
ISR,39,35-44,35-39,Jewish,Jewish,Jewish,320.6096,287.0841,300.1917,
ISR,24,16-24,20-24,Jewish,Jewish,Jewish_Haredim,251.0875,214.9693,,23.12
ISR,48,45-54,45-49,Jewish,Jewish,Jewish,223.5329,220.7689,207.7301,-1
ISR,28,25-34,25-29,Jewish,Jewish,Jewish,301.3317,295.722,280.468,35.78
ISR,28,25-34,25-29,Jewish,Jewish,Jewish,232.9275,260.2962,232.6554,-1
ISR,38,35-44,35-39,Jewish,Jewish,Jewish,346.2636,290.6201,,36.22
ISR,54,45-54,50-54,Jewish,Jewish,Jewish,305.532,240.6955,,-1
ISR,28,25-34,25-29,Jewish,Jewish,Jewish,271.5958,235.017,267.4987,45.76
ISR,41,35-44,40-44,Jewish,Jewish,Jewish,241.2295,270.0655,231.722,70.78
ISR,58,55-65,55-59,Jewish,Jewish,Jewish,249.5106,244.1904,241.8909,52.16
ISR,35,35-44,35-39,Jewish,Jewish,Jewish_Haredim,304.2251,317.2272,304.9491,49.13
ISR,41,35-44,40-44,Jewish,Jewish,Jewish_Haredim,206.3531,211.6614,199.4543,-1
ISR,24,16-24,20-24,Jewish,Jewish,Jewish_Haredim,189.5721,207.3625,213.579,26.01
ISR,35,35-44,35-39,Jewish,Jewish,Jewish_Haredim,240.3867,183.042,,-1
ISR,26,25-34,25-29,Jewish,Jewish,Jewish,304.0846,315.4048,270.1579,27
ISR,27,25-34,25-29,Jewish,Jewish,Jewish_Haredim,251.4051,261.2763,201.3695,-1
ISR,62,55-65,60-65,Jewish,Jewish,Jewish,97.31713,80.76341,,-1
ISR,26,25-34,25-29,Jewish,Jewish,Jewish,288.514,295.5267,307.6121,32.5
ISR,25,25-34,25-29,Jewish,Jewish,Jewish_Haredim,294.2533,304.0768,,-1
ISR,58,55-65,55-59,Jewish,Jewish,Jewish,210.3857,196.5127,,-1
ISR,16,16-24,16-19,Jewish,Jewish,Jewish,239.0987,230.5533,252.3,40
ISR,23,16-24,20-24,Jewish,Jewish,Jewish,317.4598,333.2472,342.9839,-1
ISR,26,25-34,25-29,Jewish,Jewish,Jewish,176.0213,179.5701,198.9607,23
ISR,45,45-54,45-49,Jewish,Jewish,Jewish,189.4056,214.7528,190.9327,-1
ISR,33,25-34,30-34,Jewish,Jewish,Jewish,326.3204,334.6085,347.7055,71.93
ISR,42,35-44,40-44,Jewish,Jewish,Jewish,332.0258,320.2998,346.046,83.24
ISR,36,35-44,35-39,Jewish,Jewish,Jewish,360.6786,343.5078,378.5034,39.31
ISR,32,25-34,30-34,Jewish,Jewish,Jewish,217.8763,222.0536,,-1
ISR,46,45-54,45-49,Jewish,Jewish,Jewish,153.5899,122.2779,,31.31
ISR,48,45-54,45-49,Jewish,Jewish,Jewish,276.016,290.8396,276.8131,-1
ISR,26,25-34,25-29,Jewish,Jewish,Jewish,279.3163,267.5658,337.8297,48.81
ISR,46,45-54,45-49,Jewish,Jewish,Jewish_Haredim,278.0572,281.6582,228.4823,69.36
ISR,65,55-65,60-65,Jewish,Jewish,Jewish,298.7568,321.8185,240.8936,-1
ISR,27,25-34,25-29,Jewish,Jewish,Jewish,297.474,258.8515,,-1
ISR,45,45-54,45-49,Jewish,Jewish,Jewish,349.0421,311.2551,325.1869,117.86
ISR,28,25-34,25-29,Jewish,Jewish,Jewish,336.7274,317.5842,297.8292,-1
ISR,59,55-65,55-59,Jewish,Jewish,Jewish_Haredim,258.9352,241.0483,,-1
ISR,48,45-54,45-49,Jewish,Jewish,Jewish,240.5825,224.837,248.2614,25
ISR,44,35-44,40-44,Jewish,Jewish,Jewish,337.263,326.5275,364.6741,35
ISR,25,25-34,25-29,Jewish,Jewish,Jewish,258.4646,243.5869,,21.34
ISR,26,25-34,25-29,Jewish,Jewish,Jewish,237.7646,248.4559,234.7458,-1
ISR,59,55-65,55-59,Jewish,Jewish,Jewish,317.0446,307.8794,299.3336,51.38
ISR,37,35-44,35-39,Jewish,Jewish,Jewish,264.9663,277.1606,268.2502,144.23
ISR,25,25-34,25-29,Jewish,Jewish,Jewish,290.1066,299.2017,316.7761,30
ISR,62,55-65,60-65,Jewish,Jewish,Jewish,99.10526,92.72982,,-1
ISR,24,16-24,20-24,Jewish,Jewish,Jewish_Haredim,165.78,121.9257,144.8265,-1
ISR,19,16-24,16-19,Jewish,Jewish,Jewish,332.2255,332.5624,338.2314,-1
ISR,30,25-34,30-34,Jewish,Jewish,Jewish,270.5517,255.0186,254.0251,88.81
ISR,43,35-44,40-44,Jewish,Jewish,Jewish_Haredim,127.6092,81.80653,,-1
ISR,48,45-54,45-49,Jewish,Jewish,Jewish,237.8366,246.9013,,-1
ISR,25,25-34,25-29,Jewish,Jewish,Jewish,224.5762,252.1633,211.6568,41.18
ISR,47,45-54,45-49,Jewish,Jewish,Jewish,220.731,177.4204,232.1224,30
ISR,60,55-65,60-65,Jewish,Jewish,Jewish,182.3421,99.71299,,-1
ISR,21,16-24,20-24,Jewish,Jewish,Jewish,261.1616,233.1759,255.1291,24
ISR,28,25-34,25-29,Jewish,Jewish,Jewish,248.873,299.2122,271.5053,40.33
ISR,42,35-44,40-44,Jewish,Jewish,Jewish,305.3889,279.4001,,38.46
ISR,26,25-34,25-29,Jewish,Jewish,Jewish,254.5268,170.0669,250.8351,30.83
ISR,17,16-24,16-19,Jewish,Jewish,Jewish,233.8123,219.6743,233.9662,-1
ISR,24,16-24,20-24,Jewish,Jewish,Jewish_Haredim,276.4472,304.1683,260.9915,-1
ISR,25,25-34,25-29,Jewish,Jewish,Jewish_Haredim,279.1743,307.8387,288.7547,-1
ISR,22,16-24,20-24,Jewish,Jewish,Jewish_Haredim,227.6048,223.9825,,-1
ISR,60,55-65,60-65,Jewish,Jewish,Jewish_Haredim,247.1962,162.2161,,109.52
ISR,25,25-34,25-29,Jewish,Jewish,Jewish_Haredim,252.8975,246.1733,279.8628,30
ISR,31,25-34,30-34,Jewish,Jewish,Jewish_Haredim,277.2993,241.0532,,44.96
ISR,39,35-44,35-39,Jewish,Jewish,Jewish,234.419,251.3284,222.6752,-1
ISR,52,45-54,50-54,Jewish,Jewish,Jewish,190.5887,126.7897,,23
ISR,29,25-34,25-29,Jewish,Jewish,Jewish_Haredim,272.6947,280.5016,266.6643,-1
ISR,29,25-34,25-29,Jewish,Jewish,Jewish_Haredim,244.1053,267.5685,,30
ISR,18,16-24,16-19,Jewish,Jewish,Jewish_Haredim,264.987,254.4714,293.4386,-1
ISR,19,16-24,16-19,Jewish,Jewish,Jewish_Haredim,188.2273,195.5719,228.8035,-1
ISR,54,45-54,50-54,Jewish,Jewish,Jewish_Haredim,304.0626,332.8519,335.5017,49.13
ISR,21,16-24,20-24,Jewish,Jewish,Jewish,180.2999,178.8513,213.49,25
ISR,61,55-65,60-65,Jewish,Jewish,Jewish,172.633,163.9021,214.3624,32.37
ISR,31,25-34,30-34,Jewish,Jewish,Jewish_Haredim,295.4297,265.5352,309.9525,-1
ISR,57,55-65,55-59,Jewish,Jewish,Jewish,139.9725,157.0237,139.3817,63.58
ISR,27,25-34,25-29,Jewish,Jewish,Jewish_Haredim,260.714,259.421,242.7687,42.04
ISR,33,25-34,30-34,Jewish,Jewish,Jewish_Haredim,330.0046,315.7241,321.4438,-1
ISR,27,25-34,25-29,Jewish,Jewish,Jewish_Haredim,302.3289,321.411,301.149,-1
