OrderID,OrderDate,Cutomer Name,Customer Country,Customer City,Product Code@ProductName@Sales Cost,Sales Quantity,Sales Price,Fee,Department ,Discount
10258,17/07/2018,Ernst Handel,Austria,Graz,2@Chang@5.855344,50,15.2,12113,Culture and Sports,10
10258,17/07/2018,Ernst Handel,Austria,Graz,5@Chef Anton's Gumbo Mix@6.54874,65,17,6618,Defense,6
10258,17/07/2018,Ernst Handel,Austria,Graz,32@Mascarpone Fabioli@9.861632,6,25.6,10728,Energy,19
10259,18/07/2018,Centro comercial Moctezuma,Mexico,M?xico D.F.,21@Sir Rodney's Scones@3.08176,10,8,5430,Communications,24
10259,18/07/2018,Centro comercial Moctezuma,Mexico,M?xico D.F.,37@Gravad lax@8.012576,1,20.8,11898,Culture and Sports,7
10260,19/07/2018,Ottilies K?seladen,Israel,Hadera,41@Jack's New England Clam Chowder@2.966194,16,7.7,11130,Defense,21
10260,19/07/2018,Ottilies K?seladen,Israel,Hadera,57@Ravioli Angelo@6.009432,50,15.6,5358,Finance,13
10260,19/07/2018,Ottilies K?seladen,Israel,Hadera,62@Tarte au sucre@15.177668,15,39.4,11284,Agriculture and Rural Development,6
10260,19/07/2018,Ottilies K?seladen,Israel,Hadera,70@Outback Lager@4.62264,21,12,5508,Defense,10
10261,19/07/2018,Que Del?cia,Brazil,Rio de Janeiro,21@Sir Rodney's Scones@3.08176,20,8,9556,Agriculture and Rural Development,9
10261,19/07/2018,Que Del?cia,Brazil,Rio de Janeiro,35@Steeleye Stout@5.547168,20,14.4,11311,Energy,8
10262,22/07/2018,Rattlesnake Canyon Grocery,USA,Albuquerque,5@Chef Anton's Gumbo Mix@6.54874,12,17,7624,Agriculture and Rural Development,22
10262,22/07/2018,Rattlesnake Canyon Grocery,USA,Albuquerque,7@Uncle Bob's Organic Dried Pears@9.24528,15,24,12324,Finance,9
10262,22/07/2018,Rattlesnake Canyon Grocery,USA,Albuquerque,56@Gnocchi di nonna Alice@11.710688,2,30.4,11543,Economy and Industry,7
10263,23/07/2018,Ernst Handel,Austria,Graz,16@Pavlova@5.354558,60,13.9,7130,Defense,6
10263,23/07/2018,Ernst Handel,Austria,Graz,24@Guaran? Fant?stica@1.386792,28,3.6,11042,Defense,11
10263,23/07/2018,Ernst Handel,Austria,Graz,30@Nord-Ost Matjeshering@7.974054,60,20.7,5914,Communications,11
10263,23/07/2018,Ernst Handel,Austria,Graz,74@Longlife Tofu@3.08176,36,8,12416,Culture and Sports,18
10264,24/07/2018,Folk och f? HB,Sweden,Br?cke,2@Chang@5.855344,35,15.2,6741,Communications,15
10264,24/07/2018,Folk och f? HB,Sweden,Br?cke,41@Jack's New England Clam Chowder@2.966194,25,7.7,6623,Economy and Industry,5
10265,25/07/2018,Blondesddsl p?re et fils,France,Strasbourg,17@Alice Mutton@12.018864,30,31.2,10350,Defense,13
10265,25/07/2018,Blondesddsl p?re et fils,France,Strasbourg,70@Outback Lager@4.62264,20,12,6732,Culture and Sports,16
10266,26/07/2018,Wartian Herkku,Finland,Oulu,12@Queso Manchego La Pastora@11.710688,12,30.4,11012,Culture and Sports,12
10267,29/07/2018,Frankenversand,Israel,Haifa,40@Boston Crab Meat@5.662734,50,14.7,9454,Agriculture and Rural Development,18
10267,29/07/2018,Frankenversand,Israel,Haifa,59@Raclette Courdavault@16.94968,70,44,10653,Culture and Sports,5
10267,29/07/2018,Frankenversand,Israel,Haifa,76@Lakkalik??ri@5.547168,15,14.4,12337,Economy and Industry,25
10268,30/07/2018,GROSELLA-Restaurante,Venezuela,Caracas,29@Th?ringer Rostbratwurst@38.13678,10,99,10901,Energy,11
10268,30/07/2018,GROSELLA-Restaurante,Venezuela,Caracas,72@Mozzarella di Giovanni@10.709116,4,27.8,7570,Economy and Industry,10
10269,31/07/2018,White Clover Markets,USA,Seattle,33@Geitost@0.77044,60,2,11785,Economy and Industry,12
10269,31/07/2018,White Clover Markets,USA,Seattle,72@Mozzarella di Giovanni@10.709116,20,27.8,5743,Economy and Industry,5
10270,01/08/2018,Wartian Herkku,Finland,Oulu,36@Inlagd Sill@5.855344,30,15.2,8779,Economy and Industry,20
10270,01/08/2018,Wartian Herkku,Finland,Oulu,43@Ipoh Coffee@14.176096,25,36.8,8553,Culture and Sports,15
10271,01/08/2018,Split Rail Beer & Ale,USA,Lander,33@Geitost@0.77044,24,2,11590,Culture and Sports,16
10272,02/08/2018,Rattlesnake Canyon Grocery,USA,Albuquerque,20@Sir Rodney's Marmalade@24.962256,6,64.8,7536,Energy,22
10272,02/08/2018,Rattlesnake Canyon Grocery,USA,Albuquerque,31@Gorgonzola Telino@3.8522,40,10,10593,Agriculture and Rural Development,18
10272,02/08/2018,Rattlesnake Canyon Grocery,USA,Albuquerque,72@Mozzarella di Giovanni@10.709116,24,27.8,6398,Defense,19
10273,05/08/2018,QUICK-Stop,Israel,Bat Yam,10@Ikura@9.553456,24,24.8,10505,Agriculture and Rural Development,11
10273,05/08/2018,QUICK-Stop,Israel,Bat Yam,31@Gorgonzola Telino@3.8522,15,10,11503,Agriculture and Rural Development,8
10273,05/08/2018,QUICK-Stop,Israel,Bat Yam,33@Geitost@0.77044,20,2,11919,Finance,11
10273,05/08/2018,QUICK-Stop,Israel,Bat Yam,40@Boston Crab Meat@5.662734,60,14.7,10198,Communications,21
10273,05/08/2018,QUICK-Stop,Israel,Bat Yam,76@Lakkalik??ri@5.547168,33,14.4,10174,Culture and Sports,20
10274,06/08/2018,Vins et alcools Chevalier,France,Reims,71@Flotemysost@6.625784,20,17.2,12320,Economy and Industry,11
10274,06/08/2018,Vins et alcools Chevalier,France,Reims,72@Mozzarella di Giovanni@10.709116,7,27.8,9209,Communications,10
10275,07/08/2018,Magazzini Alimentari Riuniti,Italy,Bergamo,24@Guaran? Fant?stica@1.386792,12,3.6,10148,Economy and Industry,19
10275,07/08/2018,Magazzini Alimentari Riuniti,Italy,Bergamo,59@Raclette Courdavault@16.94968,6,44,9681,Economy and Industry,15
10276,08/08/2018,Tortuga Restaurante,Mexico,M?xico D.F.,10@Ikura@9.553456,15,24.8,11466,Energy,15
10276,08/08/2018,Tortuga Restaurante,Mexico,M?xico D.F.,13@Konbu@1.849056,10,4.8,11029,Energy,5
10277,09/08/2018,Morgenstern Gesundkost,Israel,Rishon Le Zion,28@R?ssle Sauerkraut@14.022008,20,36.4,5451,Energy,7
10277,09/08/2018,Morgenstern Gesundkost,Israel,Rishon Le Zion,62@Tarte au sucre@15.177668,12,39.4,7276,Culture and Sports,8
10278,12/08/2018,Berglunds snabbk?p,Sweden,Lule?,44@Gula Malacca@5.97091,16,15.5,9970,Finance,22
10278,12/08/2018,Berglunds snabbk?p,Sweden,Lule?,59@Raclette Courdavault@16.94968,15,44,9031,Agriculture and Rural Development,16
10278,12/08/2018,Berglunds snabbk?p,Sweden,Lule?,63@Vegie-spread@13.521222,8,35.1,5566,Agriculture and Rural Development,8
10278,12/08/2018,Berglunds snabbk?p,Sweden,Lule?,73@R?d Kaviar@4.62264,25,12,7526,Energy,19
10279,13/08/2018,Lehmanns Marktstand,Israel,Beer Sheva,17@Alice Mutton@12.018864,15,31.2,7772,Energy,13
10280,14/08/2018,Berglunds snabbk?p,Sweden,Lule?,24@Guaran? Fant?stica@1.386792,12,3.6,9456,Communications,21
10280,14/08/2018,Berglunds snabbk?p,Sweden,Lule?,55@P?t? chinois@7.396224,20,19.2,7468,Finance,14
10280,14/08/2018,Berglunds snabbk?p,Sweden,Lule?,75@Rh?nbr?u Klosterbier@2.388364,30,6.2,9183,Economy and Industry,18
10281,14/08/2018,Romero y tomillo,Spain,Madrid,19@Teatime Chocolate Biscuits@2.812106,1,7.3,9234,Culture and Sports,17
10281,14/08/2018,Romero y tomillo,Spain,Madrid,24@Guaran? Fant?stica@1.386792,6,3.6,11441,Defense,22
10281,14/08/2018,Romero y tomillo,Spain,Madrid,35@Steeleye Stout@5.547168,4,14.4,8422,Energy,6
10282,15/08/2018,Romero y tomillo,Spain,Madrid,30@Nord-Ost Matjeshering@7.974054,6,20.7,8656,Finance,22
10282,15/08/2018,Romero y tomillo,Spain,Madrid,57@Ravioli Angelo@6.009432,2,15.6,8721,Culture and Sports,11
10283,16/08/2018,LILA-Supermercado,Venezuela,Barquisimeto,15@Genen Shouyu@4.776728,20,12.4,8758,Finance,17
10283,16/08/2018,LILA-Supermercado,Venezuela,Barquisimeto,19@Teatime Chocolate Biscuits@2.812106,18,7.3,6573,Energy,10
10283,16/08/2018,LILA-Supermercado,Venezuela,Barquisimeto,60@Camembert Pierrot@10.477984,35,27.2,6510,Economy and Industry,6
10283,16/08/2018,LILA-Supermercado,Venezuela,Barquisimeto,72@Mozzarella di Giovanni@10.709116,3,27.8,11346,Agriculture and Rural Development,22
10284,19/08/2018,Lehmanns Marktstand,Israel,Beer Sheva,27@Schoggi Schokolade@13.521222,15,35.1,10606,Culture and Sports,24
10284,19/08/2018,Lehmanns Marktstand,Israel,Beer Sheva,44@Gula Malacca@5.97091,21,15.5,9182,Defense,24
10284,19/08/2018,Lehmanns Marktstand,Israel,Beer Sheva,60@Camembert Pierrot@10.477984,20,27.2,7013,Agriculture and Rural Development,11
10284,19/08/2018,Lehmanns Marktstand,Israel,Beer Sheva,67@Laughing Lumberjack Lager@4.314464,5,11.2,8389,Culture and Sports,24
10285,20/08/2018,QUICK-Stop,Israel,Bat Yam,1@Chai@5.547168,45,14.4,8437,Defense,22
10285,20/08/2018,QUICK-Stop,Israel,Bat Yam,40@Boston Crab Meat@5.662734,40,14.7,10765,Culture and Sports,12
10285,20/08/2018,QUICK-Stop,Israel,Bat Yam,53@Perth Pasties@10.092764,36,26.2,9555,Communications,6
10286,21/08/2018,QUICK-Stop,Israel,Bat Yam,35@Steeleye Stout@5.547168,100,14.4,11046,Energy,8
10286,21/08/2018,QUICK-Stop,Israel,Bat Yam,62@Tarte au sucre@15.177668,40,39.4,7239,Defense,18
10287,22/08/2018,Ricardo Adocicados,Brazil,Rio de Janeiro,16@Pavlova@5.354558,40,13.9,8834,Defense,5
10287,22/08/2018,Ricardo Adocicados,Brazil,Rio de Janeiro,34@Sasquatch Ale@4.314464,20,11.2,11445,Economy and Industry,9
10287,22/08/2018,Ricardo Adocicados,Brazil,Rio de Janeiro,46@Spegesild@3.698112,15,9.6,11180,Energy,23
10288,23/08/2018,Reggiani Caseifici,Italy,Reggio Emilia,54@Tourti?re@2.272798,10,5.9,7708,Finance,24
10288,23/08/2018,Reggiani Caseifici,Italy,Reggio Emilia,68@Scottish Longbreads@3.8522,3,10,10329,Communications,21
10289,26/08/2018,B's Beverages,UK,London,3@Aniseed Syrup@3.08176,30,8,11436,Communications,25
10289,26/08/2018,B's Beverages,UK,London,64@Wimmers gute Semmelkn?del@10.246852,9,26.6,6410,Communications,13
10290,27/08/2018,Com?rcio Mineiro,Brazil,Sao Paulo,5@Chef Anton's Gumbo Mix@6.54874,20,17,9175,Communications,16
10290,27/08/2018,Com?rcio Mineiro,Brazil,Sao Paulo,29@Th?ringer Rostbratwurst@38.13678,15,99,5809,Agriculture and Rural Development,10
10290,27/08/2018,Com?rcio Mineiro,Brazil,Sao Paulo,49@Maxilaku@6.16352,15,16,8783,Defense,17
10290,27/08/2018,Com?rcio Mineiro,Brazil,Sao Paulo,77@Original Frankfurter gr?ne So?e@4.006288,10,10.4,9313,Defense,21
10291,27/08/2018,Que Del?cia,Brazil,Rio de Janeiro,13@Konbu@1.849056,20,4.8,6019,Economy and Industry,7
10291,27/08/2018,Que Del?cia,Brazil,Rio de Janeiro,44@Gula Malacca@5.97091,24,15.5,6184,Agriculture and Rural Development,13
10291,27/08/2018,Que Del?cia,Brazil,Rio de Janeiro,51@Manjimup Dried Apples@16.333328,2,42.4,11505,Defense,5
10292,28/08/2018,Tradi??o Hipermercados,Brazil,Sao Paulo,20@Sir Rodney's Marmalade@24.962256,20,64.8,8796,Agriculture and Rural Development,21
10293,29/08/2018,Tortuga Restaurante,Mexico,M?xico D.F.,18@Carnarvon Tigers@19.261,12,50,10569,Economy and Industry,19
10293,29/08/2018,Tortuga Restaurante,Mexico,M?xico D.F.,24@Guaran? Fant?stica@1.386792,10,3.6,8006,Finance,19
10293,29/08/2018,Tortuga Restaurante,Mexico,M?xico D.F.,63@Vegie-spread@13.521222,5,35.1,5235,Defense,6
10293,29/08/2018,Tortuga Restaurante,Mexico,M?xico D.F.,75@Rh?nbr?u Klosterbier@2.388364,6,6.2,5119,Agriculture and Rural Development,18
10294,30/08/2018,Rattlesnake Canyon Grocery,USA,Albuquerque,1@Chai@5.547168,18,14.4,9631,Economy and Industry,25
10294,30/08/2018,Rattlesnake Canyon Grocery,USA,Albuquerque,17@Alice Mutton@12.018864,15,31.2,5528,Communications,5
10294,30/08/2018,Rattlesnake Canyon Grocery,USA,Albuquerque,43@Ipoh Coffee@14.176096,15,36.8,9424,Agriculture and Rural Development,7
10294,30/08/2018,Rattlesnake Canyon Grocery,USA,Albuquerque,60@Camembert Pierrot@10.477984,21,27.2,10279,Economy and Industry,23
10294,30/08/2018,Rattlesnake Canyon Grocery,USA,Albuquerque,75@Rh?nbr?u Klosterbier@2.388364,6,6.2,6257,Communications,14
10295,02/09/2018,Vins et alcools Chevalier,France,Reims,56@Gnocchi di nonna Alice@11.710688,4,30.4,7456,Energy,12
10296,03/09/2018,LILA-Supermercado,Venezuela,Barquisimeto,11@Queso Cabrales@6.471696,12,16.8,6367,Finance,6
10296,03/09/2018,LILA-Supermercado,Venezuela,Barquisimeto,16@Pavlova@5.354558,30,13.9,11987,Defense,25
10296,03/09/2018,LILA-Supermercado,Venezuela,Barquisimeto,69@Gudbrandsdalsost@11.094336,15,28.8,5100,Finance,21
10297,04/09/2018,Blondesddsl p?re et fils,France,Strasbourg,39@Chartreuse verte@5.547168,60,14.4,10723,Finance,16
10297,04/09/2018,Blondesddsl p?re et fils,France,Strasbourg,72@Mozzarella di Giovanni@10.709116,20,27.8,7917,Culture and Sports,7
10298,05/09/2018,Hungry Owl All-Night Grocers,Ireland,Cork,2@Chang@5.855344,40,15.2,11106,Finance,22
10298,05/09/2018,Hungry Owl All-Night Grocers,Ireland,Cork,36@Inlagd Sill@5.855344,40,15.2,7325,Energy,6
10298,05/09/2018,Hungry Owl All-Night Grocers,Ireland,Cork,59@Raclette Courdavault@16.94968,30,44,8378,Energy,21
10298,05/09/2018,Hungry Owl All-Night Grocers,Ireland,Cork,62@Tarte au sucre@15.177668,15,39.4,5184,Culture and Sports,15
10299,06/09/2018,Ricardo Adocicados,Brazil,Rio de Janeiro,19@Teatime Chocolate Biscuits@2.812106,15,7.3,9921,Culture and Sports,13
10299,06/09/2018,Ricardo Adocicados,Brazil,Rio de Janeiro,70@Outback Lager@4.62264,20,12,9845,Defense,5
10300,09/09/2018,Magazzini Alimentari Riuniti,Italy,Bergamo,66@Louisiana Hot Spiced Okra@5.238992,30,13.6,11199,Energy,12
10300,09/09/2018,Magazzini Alimentari Riuniti,Italy,Bergamo,68@Scottish Longbreads@3.8522,20,10,9213,Economy and Industry,23
10301,09/09/2018,Die Wandernde Kuh,Israel,Ashdod,40@Boston Crab Meat@5.662734,10,14.7,12026,Defense,5
10301,09/09/2018,Die Wandernde Kuh,Israel,Ashdod,56@Gnocchi di nonna Alice@11.710688,20,30.4,8709,Agriculture and Rural Development,11
10302,10/09/2018,Supr?mes d?lices,Belgium,Charleroi,17@Alice Mutton@12.018864,40,31.2,11041,Defense,24
10302,10/09/2018,Supr?mes d?lices,Belgium,Charleroi,28@R?ssle Sauerkraut@14.022008,28,36.4,7854,Defense,12
10302,10/09/2018,Supr?mes d?lices,Belgium,Charleroi,43@Ipoh Coffee@14.176096,12,36.8,5021,Culture and Sports,9
10303,11/09/2018,Godos Cocina T?pica,Spain,Sevilla,40@Boston Crab Meat@5.662734,40,14.7,5078,Finance,6
10303,11/09/2018,Godos Cocina T?pica,Spain,Sevilla,65@Louisiana Fiery Hot Pepper Sauce@6.471696,30,16.8,11264,Energy,9
10303,11/09/2018,Godos Cocina T?pica,Spain,Sevilla,68@Scottish Longbreads@3.8522,15,10,7990,Energy,21
10304,12/09/2018,Tortuga Restaurante,Mexico,M?xico D.F.,49@Maxilaku@6.16352,30,16,9060,Defense,5
10304,12/09/2018,Tortuga Restaurante,Mexico,M?xico D.F.,59@Raclette Courdavault@16.94968,10,44,5364,Finance,24
10304,12/09/2018,Tortuga Restaurante,Mexico,M?xico D.F.,71@Flotemysost@6.625784,2,17.2,11742,Agriculture and Rural Development,13
10305,13/09/2018,Old World Delicatessen,USA,Anchorage,18@Carnarvon Tigers@19.261,25,50,12113,Energy,25
10305,13/09/2018,Old World Delicatessen,USA,Anchorage,29@Th?ringer Rostbratwurst@38.13678,25,99,7193,Energy,23
10305,13/09/2018,Old World Delicatessen,USA,Anchorage,39@Chartreuse verte@5.547168,30,14.4,9380,Energy,14
10306,16/09/2018,Romero y tomillo,Spain,Madrid,30@Nord-Ost Matjeshering@7.974054,10,20.7,8624,Finance,20
10306,16/09/2018,Romero y tomillo,Spain,Madrid,53@Perth Pasties@10.092764,10,26.2,10468,Defense,22
10306,16/09/2018,Romero y tomillo,Spain,Madrid,54@Tourti?re@2.272798,5,5.9,8817,Defense,24
10307,17/09/2018,Lonesome Pine Restaurant,USA,Portland,62@Tarte au sucre@15.177668,10,39.4,10210,Energy,10
10307,17/09/2018,Lonesome Pine Restaurant,USA,Portland,68@Scottish Longbreads@3.8522,3,10,5210,Defense,20
10308,18/09/2018,Ana Trujillo Emparedados y helados,Mexico,M?xico D.F.,69@Gudbrandsdalsost@11.094336,1,28.8,9690,Economy and Industry,6
10308,18/09/2018,Ana Trujillo Emparedados y helados,Mexico,M?xico D.F.,70@Outback Lager@4.62264,5,12,10314,Energy,7
10309,19/09/2018,Hungry Owl All-Night Grocers,Ireland,Cork,4@Chef Anton's Cajun Seasoning@6.779872,20,17.6,7219,Energy,7
10309,19/09/2018,Hungry Owl All-Night Grocers,Ireland,Cork,6@Grandma's Boysenberry Spread@7.7044,30,20,12284,Energy,20
10309,19/09/2018,Hungry Owl All-Night Grocers,Ireland,Cork,42@Singaporean Hokkien Fried Mee@4.314464,2,11.2,5004,Finance,7
10309,19/09/2018,Hungry Owl All-Night Grocers,Ireland,Cork,43@Ipoh Coffee@14.176096,20,36.8,8425,Economy and Industry,19
10309,19/09/2018,Hungry Owl All-Night Grocers,Ireland,Cork,71@Flotemysost@6.625784,3,17.2,8753,Communications,20
10310,20/09/2018,The Big Cheese,USA,Portland,16@Pavlova@5.354558,10,13.9,7292,Economy and Industry,12
10310,20/09/2018,The Big Cheese,USA,Portland,62@Tarte au sucre@15.177668,5,39.4,8205,Finance,18
10311,20/09/2018,Du monde entier,France,Nantes,42@Singaporean Hokkien Fried Mee@4.314464,6,11.2,12344,Finance,9
10311,20/09/2018,Du monde entier,France,Nantes,69@Gudbrandsdalsost@11.094336,7,28.8,10040,Economy and Industry,7
10312,23/09/2018,Die Wandernde Kuh,Israel,Ashdod,28@R?ssle Sauerkraut@14.022008,4,36.4,7415,Finance,5
10312,23/09/2018,Die Wandernde Kuh,Israel,Ashdod,43@Ipoh Coffee@14.176096,24,36.8,11692,Economy and Industry,22
10312,23/09/2018,Die Wandernde Kuh,Israel,Ashdod,53@Perth Pasties@10.092764,20,26.2,10071,Communications,25
10312,23/09/2018,Die Wandernde Kuh,Israel,Ashdod,75@Rh?nbr?u Klosterbier@2.388364,10,6.2,7012,Economy and Industry,6
10313,24/09/2018,QUICK-Stop,Israel,Bat Yam,36@Inlagd Sill@5.855344,12,15.2,9823,Defense,12
10314,25/09/2018,Rattlesnake Canyon Grocery,USA,Albuquerque,32@Mascarpone Fabioli@9.861632,40,25.6,9147,Defense,12
10314,25/09/2018,Rattlesnake Canyon Grocery,USA,Albuquerque,58@Escargots de Bourgogne@4.083332,30,10.6,11455,Energy,5
10314,25/09/2018,Rattlesnake Canyon Grocery,USA,Albuquerque,62@Tarte au sucre@15.177668,25,39.4,8498,Culture and Sports,10
10315,26/09/2018,Island Trading,UK,Cowes,34@Sasquatch Ale@4.314464,14,11.2,6017,Finance,12
10315,26/09/2018,Island Trading,UK,Cowes,70@Outback Lager@4.62264,30,12,10992,Culture and Sports,16
10316,27/09/2018,Rattlesnake Canyon Grocery,USA,Albuquerque,41@Jack's New England Clam Chowder@2.966194,10,7.7,8410,Finance,22
10316,27/09/2018,Rattlesnake Canyon Grocery,USA,Albuquerque,62@Tarte au sucre@15.177668,70,39.4,9298,Communications,7
10317,30/09/2018,Lonesome Pine Restaurant,USA,Portland,1@Chai@5.547168,20,14.4,5673,Culture and Sports,16
10318,01/10/2018,Island Trading,UK,Cowes,41@Jack's New England Clam Chowder@2.966194,20,7.7,6075,Agriculture and Rural Development,10
10318,01/10/2018,Island Trading,UK,Cowes,76@Lakkalik??ri@5.547168,6,14.4,6152,Agriculture and Rural Development,24
10319,02/10/2018,Tortuga Restaurante,Mexico,M?xico D.F.,17@Alice Mutton@12.018864,8,31.2,6551,Defense,16
10319,02/10/2018,Tortuga Restaurante,Mexico,M?xico D.F.,28@R?ssle Sauerkraut@14.022008,14,36.4,8035,Finance,13
10319,02/10/2018,Tortuga Restaurante,Mexico,M?xico D.F.,76@Lakkalik??ri@5.547168,30,14.4,6463,Finance,25
10320,03/10/2018,Wartian Herkku,Finland,Oulu,71@Flotemysost@6.625784,30,17.2,12361,Energy,21
10321,03/10/2018,Island Trading,UK,Cowes,35@Steeleye Stout@5.547168,10,14.4,12261,Defense,5
10322,04/10/2018,Pericles Comidas cl?sicas,Mexico,M?xico D.F.,52@Filo Mix@2.157232,20,5.6,6303,Energy,21
10323,07/10/2018,K?niglich Essen,Israel,Dimona,15@Genen Shouyu@4.776728,5,12.4,6445,Finance,6
10323,07/10/2018,K?niglich Essen,Israel,Dimona,25@NuNuCa Nu?-Nougat-Creme@4.314464,4,11.2,6830,Energy,9
10323,07/10/2018,K?niglich Essen,Israel,Dimona,39@Chartreuse verte@5.547168,4,14.4,5805,Communications,18
10324,08/10/2018,Save-a-lot Markets,USA,Boise,16@Pavlova@5.354558,21,13.9,8803,Culture and Sports,10
10324,08/10/2018,Save-a-lot Markets,USA,Boise,35@Steeleye Stout@5.547168,70,14.4,7762,Finance,9
10324,08/10/2018,Save-a-lot Markets,USA,Boise,46@Spegesild@3.698112,30,9.6,7735,Agriculture and Rural Development,13
10324,08/10/2018,Save-a-lot Markets,USA,Boise,59@Raclette Courdavault@16.94968,40,44,9472,Economy and Industry,9
10324,08/10/2018,Save-a-lot Markets,USA,Boise,63@Vegie-spread@13.521222,80,35.1,8858,Defense,13
10325,09/10/2018,K?niglich Essen,Israel,Dimona,6@Grandma's Boysenberry Spread@7.7044,6,20,7743,Communications,5
10325,09/10/2018,K?niglich Essen,Israel,Dimona,13@Konbu@1.849056,12,4.8,10643,Energy,17
10325,09/10/2018,K?niglich Essen,Israel,Dimona,14@Tofu@7.165092,9,18.6,5379,Culture and Sports,7
10325,09/10/2018,K?niglich Essen,Israel,Dimona,31@Gorgonzola Telino@3.8522,4,10,11630,Economy and Industry,19
10325,09/10/2018,K?niglich Essen,Israel,Dimona,72@Mozzarella di Giovanni@10.709116,40,27.8,9845,Culture and Sports,15
10326,10/10/2018,B?lido Comidas preparadas,Spain,Madrid,4@Chef Anton's Cajun Seasoning@6.779872,24,17.6,9057,Agriculture and Rural Development,12
10326,10/10/2018,B?lido Comidas preparadas,Spain,Madrid,57@Ravioli Angelo@6.009432,16,15.6,10248,Culture and Sports,11
10326,10/10/2018,B?lido Comidas preparadas,Spain,Madrid,75@Rh?nbr?u Klosterbier@2.388364,50,6.2,10169,Economy and Industry,10
10327,11/10/2018,Folk och f? HB,Sweden,Br?cke,2@Chang@5.855344,25,15.2,6191,Finance,16
